Ministries/Departments,Heads of Expenditure,Detailed Heads of Expenditure,Actual 2019-2020,Budget 2020-2021,Revised 2020-2021,Budget 2021-2022
"Ministry of Environment, Forests and Climate Change",Indian Council of Forestry Research and Education,Indian Council of Forestry Research and Education,230.00,230.00,217.00,220.00
"Ministry of Environment, Forests and Climate Change",Indian Institute of Forest Management,Indian Institute of Forest Management,29.00,37.00,23.50,27.75
"Ministry of Environment, Forests and Climate Change",Indian Plywood Industries Research and Training Institute,Indian Plywood Industries Research and Training Institute,10.00,11.00,10.25,8.25
"Ministry of Environment, Forests and Climate Change",Wildlife Institute of India,Wildlife Institute of India,31.49,34.00,22.00,25.50
"Ministry of Environment, Forests and Climate Change",Salim Ali Centre for Ornithology and Natural History (SACON),Salim Ali Centre for Ornithology and Natural History (SACON),...,...,...,10.50
"Ministry of Environment, Forests and Climate Change",Actual Recoveries,Actual Recoveries,-24.87,...,...,...
"Ministry of Environment, Forests and Climate Change",National Mission for a Green India,Green India Mission-National Afforestation Programme,183.29,246.00,159.00,235.00
"Ministry of Environment, Forests and Climate Change",National Mission for a Green India,Green India Mission- National Afforestation Programme (EAP Component),10.35,15.00,1.00,15.00
"Ministry of Environment, Forests and Climate Change",National Mission for a Green India,Forest Fire Prevention and Management,46.84,50.00,33.00,40.00
"Ministry of Environment, Forests and Climate Change",Integrated Development of Wildlife Habitats,Project Tiger,282.23,300.00,195.00,250.00
"Ministry of Environment, Forests and Climate Change",Integrated Development of Wildlife Habitats,Project Elephant,32.82,35.00,25.00,33.00
"Ministry of Environment, Forests and Climate Change",Integrated Development of Wildlife Habitats,Development of Wildlife Habitats,155.11,148.41,90.00,116.00
"Ministry of Environment, Forests and Climate Change",Integrated Development of Wildlife Habitats,Development of Wildlife Habitats (EAP Component),3.06,48.59,10.00,15.00
"Ministry of Environment, Forests and Climate Change",Conservation of Natural Resources and Ecosystems,Biodiversity Conservation,8.55,13.00,8.00,12.00
"Ministry of Environment, Forests and Climate Change",Conservation of Natural Resources and Ecosystems,Conservation of Aquatic Ecosystems,45.30,68.40,33.40,48.40
"Ministry of Environment, Forests and Climate Change",Conservation of Natural Resources and Ecosystems,Conservation of Aquatic Ecosystems (EAP Component),...,1.60,1.60,1.60
"Ministry of Environment, Forests and Climate Change",National River Conservation Programme,Programme Component,...,...,...,...
"Ministry of Environment, Forests and Climate Change",National River Conservation Programme,EAP Component,0.80,...,...,...
"Ministry of Environment, Forests and Climate Change",Forestry and Wild Life,Forestry and Wild Life,672.12,599.19,474.47,586.50
"Ministry of Environment, Forests and Climate Change",Ecology and Environment,Ecology and Environment,1039.37,1227.26,787.86,1235.58
"Ministry of Environment, Forests and Climate Change",Secretariat-Economic Services,Secretariat-Economic Services,127.99,139.00,128.96,147.82
"Ministry of Environment, Forests and Climate Change",Capital Outlay on Forestry and Wild Life,Capital Outlay on Forestry and Wild Life,16.23,39.55,19.26,33.48
"Ministry of Environment, Forests and Climate Change",Capital Outlay on Other Scientific and Environmental Research,Capital Outlay on Other Scientific and Environmental Research,21.42,118.00,25.01,89.00
"Ministry of Environment, Forests and Climate Change",North Eastern Areas,North Eastern Areas,...,180.00,130.34,179.00
"Ministry of Environment, Forests and Climate Change",Grants-in-aid to State Governments,Grants-in-aid to State Governments,660.08,795.50,448.60,594.90
"Ministry of Environment, Forests and Climate Change",Grants-in-aid to Union Territory Governments,Grants-in-aid to Union Territory Governments,0.50,1.50,0.50,3.65
Ministry of External Affairs,Secretariat,Secretariat,433.38,520.96,445.45,522.85
Ministry of External Affairs,Embassies and Missions,Embassies and Missions,2905.26,2994.06,2861.06,3240.07
Ministry of External Affairs,Passport and Emigration,Passport and Emigration,1551.84,1348.59,1057.84,1328.63
Ministry of External Affairs,Other Expenditure of Ministry,Other Expenditure of Ministry,567.71,645.20,783.11,766.14
Ministry of External Affairs,Bhutan,Bhutan,2667.63,2884.65,2261.86,3004.95
Ministry of External Affairs,Afghanistan,Afghanistan,408.12,400.00,350.00,350.00
Ministry of External Affairs,Bangladesh,Bangladesh,137.68,200.00,125.00,200.00
Ministry of External Affairs,Nepal,Nepal,1198.26,800.00,880.00,992.00
Ministry of External Affairs,Sri Lanka,Sri Lanka,201.09,200.00,75.00,200.00
Ministry of External Affairs,Maldives,Maldives,310.86,300.00,175.00,250.00
Ministry of External Affairs,Myanmar,Myanmar,162.30,300.00,350.00,400.00
Ministry of External Affairs,Mongolia,Mongolia,...,2.00,0.58,2.00
Ministry of External Affairs,African Countries,African Countries,497.81,350.00,225.00,300.00
Ministry of External Affairs,Eurasian Countries,Eurasian Countries,29.89,45.00,45.00,100.00
Ministry of External Affairs,Latin American Countries,Latin American Countries,12.16,20.00,22.00,40.00
Ministry of External Affairs,Other Developing Countries,Other Developing Countries,138.23,120.00,100.00,130.00
Ministry of External Affairs,Disaster Relief,Disaster Relief,27.98,20.00,20.00,20.00
Ministry of External Affairs,Chabahar Port,Chabahar Port,...,100.00,...,100.00
Ministry of External Affairs,Mauritius,Mauritius,1100.00,1025.00,650.00,900.00
Ministry of External Affairs,Seychelles,Seychelles,24.50,140.00,90.00,160.00
Ministry of External Affairs,Support to International Training/Programmes,Support to International Training/Programmes,472.65,543.00,385.72,476.20
Ministry of External Affairs,Aid for Cultural & Heritage Project,Aid for Cultural & Heritage Project,...,...,1.00,10.00
Ministry of External Affairs,Indian Council of Cultural Relations (ICCR),Indian Council of Cultural Relations (ICCR),250.00,290.00,255.00,300.00
Ministry of External Affairs,Assistance to Other Autonomous Bodies,Assistance to Other Autonomous Bodies,30.32,30.00,29.18,33.14
Ministry of External Affairs,Special Diplomatic Expenditure,Special Diplomatic Expenditure,2743.25,2800.01,2660.01,3000.01
Ministry of External Affairs,International Cooperation,International Cooperation,553.86,509.56,530.46,565.97
Ministry of External Affairs,Nalanda University,Nalanda University,300.00,250.00,200.00,250.00
Ministry of External Affairs,South Asian University,South Asian University,320.93,325.00,150.00,314.00
Ministry of External Affairs,Maintenance cost of Aircraft of Air India for VVIP travel,Maintenance cost of Aircraft of Air India for VVIP travel,187.85,150.00,230.81,150.00
Ministry of External Affairs,Demarcation of Boundaries,Demarcation of Boundaries,1.45,3.00,2.00,2.00
Ministry of External Affairs,Celebration of Pravasi Bhartiya Divas,Celebration of Pravasi Bhartiya Divas,...,...,22.00,20.00
Ministry of External Affairs,Expenditure relating to Pilgrimages abroad,Expenditure relating to Pilgrimages abroad,11.76,1.00,0.14,1.00
Ministry of External Affairs,Loss by exchange,Loss by exchange,...,0.01,0.01,0.01
Ministry of External Affairs,Grants to Institutions,Grants to Institutions,...,3.72,...,...
Ministry of External Affairs,Training,Training,25.28,25.95,16.77,25.76
Ministry of External Affairs,Actual Recoveries,Actual Recoveries,-26.51,...,...,...
Ministry of External Affairs,Secretariat-General Services,Secretariat-General Services,433.10,520.96,445.45,522.85
Ministry of External Affairs,External Affairs,External Affairs,9021.35,8876.09,8153.38,9386.72
Ministry of External Affairs,Miscellaneous General Services,Miscellaneous General Services,...,0.01,0.01,0.01
Ministry of External Affairs,Capital Outlay on Public Works,Capital Outlay on Public Works,252.89,350.00,295.00,260.00
Ministry of External Affairs,Capital Outlay on Housing,Capital Outlay on Housing,149.28,150.00,350.00,350.00
Ministry of External Affairs,Technical and Economic Co-operation with Other Countries,Technical and Economic Co-operation with Other Countries,6586.25,6617.37,5145.26,6754.40
Ministry of External Affairs,Advances to Foreign Governments,Advances to Foreign Governments,802.67,832.28,610.90,880.75
Ministry of Food Processing Industries,Secretariat,Secretariat,26.94,32.16,32.98,36.10
Ministry of Food Processing Industries,International Cooperation,International Cooperation,...,0.16,0.35,0.16
Ministry of Food Processing Industries,Pradhan Mantri Kisan Sampada Yojana,Pradhan Mantri Kisan Sampada Yojana,818.60,1081.41,750.00,700.00
Ministry of Food Processing Industries,Indian Institute of Food Processing Technology (IIFPT),Indian Institute of Food Processing Technology (IIFPT),...,77.89,27.97,31.90
Ministry of Food Processing Industries,National Institute of Food Technology Entrepreneurship and Management (NIFTEM),National Institute of Food Technology Entrepreneurship and Management (NIFTEM),...,41.32,36.12,40.50
Ministry of Food Processing Industries,Actual Recoveries,Actual Recoveries,-15.54,...,...,...
Ministry of Food Processing Industries,"Prime Minister Formalisation of Micro Food
Processing Enterprises Scheme (PM FME)","Prime Minister Formalisation of Micro Food
Processing Enterprises Scheme (PM FME)",...,...,400.00,500.00
Ministry of Food Processing Industries,Food Storage and Warehousing,Food Storage and Warehousing,803.08,1092.64,932.44,957.56
Ministry of Food Processing Industries,Secretariat-Economic Services,Secretariat-Economic Services,26.92,32.16,32.98,36.10
Ministry of Food Processing Industries,North Eastern Areas,North Eastern Areas,...,108.14,115.00,120.00
Ministry of Food Processing Industries,Grants-in-aid to State Governments,Grants-in-aid to State Governments,...,...,166.19,192.50
Ministry of Food Processing Industries,Grants-in-aid to Union Territory Governments,Grants-in-aid to Union Territory Governments,...,...,0.81,2.50
Ministry of Home Affairs,Secretariat,Secretariat,526.39,574.97,513.99,715.90
Ministry of Home Affairs,Official Languages,Official Languages,67.49,80.61,65.59,84.94
Ministry of Home Affairs,National Disaster Response Force (NDRF),National Disaster Response Force (NDRF),933.72,1018.72,1032.95,1209.41
Ministry of Home Affairs,Relief and Rehabilitation for migrants and repatriates,Relief and Rehabilitation for migrants and repatriates,730.37,205.83,258.56,241.20
Ministry of Home Affairs,Freedom Fighters (pension and other benefits),Freedom Fighters (pension and other benefits),856.52,775.31,761.31,775.31
Ministry of Home Affairs,Helicopter Services,North Eastern Region,100.00,100.00,80.00,100.00
Ministry of Home Affairs,Helicopter Services,Jammu and Kashmir and Himachal Pradesh,6.75,15.00,6.00,11.00
Ministry of Home Affairs,Infrastructure for Disaster Management,Infrastructure for Disaster Management,146.45,72.03,106.15,72.05
Ministry of Home Affairs,National Cyclone Risk Mitigation Project,National Cyclone Risk Mitigation Project,225.21,296.27,99.43,296.27
Ministry of Home Affairs,Other Disaster Management Schemes,Other Disaster Management Schemes,127.94,113.29,121.78,113.29
Ministry of Home Affairs,Civic Action Programme and Media Plan,Civic Action Programme and Media Plan,29.72,23.00,23.00,27.00
Ministry of Home Affairs,National Human Right Commission (NHRC),National Human Right Commission (NHRC),47.38,50.80,50.80,62.33
Ministry of Home Affairs,"Census, Survey and Statistics/Registrar General of India","Census, Survey and Statistics/Registrar General of India",1319.89,4568.00,755.00,3768.28
Ministry of Home Affairs,Other Central Miscellaneous Expenditure,Other Central Miscellaneous Expenditure,49.11,35.16,30.66,90.39
Ministry of Home Affairs,Actual Recoveries,Actual Recoveries,-0.88,...,...,...
Ministry of Home Affairs,Home Guards,Home Guards,25.00,25.01,82.00,0.02
Ministry of Home Affairs,Civil Defence,Civil Defence,8.00,8.00,8.33,8.00
Ministry of Home Affairs,Payment to State Governments for Administration of Central Acts,Payment to State Governments for Administration of Central Acts,9.00,40.00,20.00,40.00
Ministry of Home Affairs,Grants to Union Territories of Jammu and Kashmir and Ladakh in lieu of Finance Commission Awards and State share of Net Proceeds of Taxes,Grants to Union Territories of Jammu and Kashmir and Ladakh in lieu of Finance Commission Awards and State share of Net Proceeds of Taxes,11728.77,...,...,...
Ministry of Home Affairs,Council of Ministers,Council of Ministers,...,1.00,1.00,1.00
Ministry of Home Affairs,Secretariat-General Services,Secretariat-General Services,442.29,467.14,431.49,560.91
Ministry of Home Affairs,Jails,Jails,1.00,1.50,1.00,1.00
Ministry of Home Affairs,Other Administrative Services,Other Administrative Services,188.91,204.15,180.20,236.84
Ministry of Home Affairs,Miscellaneous General Services,Miscellaneous General Services,0.01,0.09,0.03,0.09
Ministry of Home Affairs,Capital Outlay on Public Works,Capital Outlay on Public Works,8.64,15.00,15.00,39.00
Ministry of Home Affairs,Capital Outlay on Other Administrative Services,Capital Outlay on Other Administrative Services,90.49,92.42,66.40,72.42
Ministry of Home Affairs,Social Security and Welfare,Social Security and Welfare,1111.52,842.45,822.83,827.45
Ministry of Home Affairs,Relief on account of Natural Calamities,Relief on account of Natural Calamities,1035.20,1126.62,1126.10,1364.92
Ministry of Home Affairs,Other Social Services,Other Social Services,20.79,0.64,0.32,0.19
